"class","dialogue"
"직장 대화","어제 보낸 회의록 피드백 받았어.
어떤 내용이었어?
전체 흐름은 괜찮은데 사례가 조금 부족하대.
그럼 전에 진행한 파일에서 인용할까?
좋아, 맥락만 맞추면 될 것 같아.
수치가 필요한 부분은 따로 표 만들자.
표는 내가 정리해볼게.
그럼 나는 서론이랑 결론을 다듬을게.
내일 오전까지 초안 맞추자.
알겠어, 오후에 합쳐보자."
"직장 대화","신규 파트너랑 통화했는데 일정은 그대로 가는 걸로 정리됐어.
다행이다. 우려했던 변경은 없었어?
없었어. 대신 중간 점검 한 번 더 하자고 했어.
좋네, 위험 요소 줄일 수 있겠다.
그럼 자료는 미리 공유해둘게.
중간 점검은 금요일 오후 어때?
괜찮아. 체크리스트 만들어둘게.
고마워, 회의실 예약도 부탁해.
알겠어. 캘린더 초대 보낼게.
그럼 이따 다시 이야기하자."
"직장 대화","보안팀 일정이 이틀 앞으로 당겨졌대.
오, 그럼 우선순위를 조정해야겠다.
맞아, 디자인 검수보다 구현 먼저 가야 할 듯.
디자인팀에 일정 다시 확인해볼게.
개발 쪽은 뭐가 제일 막혀 있어?
API 응답 속도가 조금 느려.
캐싱 추가하면 개선될까?
가능성 있어. 오늘 테스트해볼게.
그럼 오후에 점검 결과 공유하자.
좋아, 이슈 보드는 내가 업데이트할게."
"일상 대화","오늘은 집에서 간단히 먹으려고.
뭐 해 먹을 건데?
김밥 하려고 재료 사 왔어.
생각보다 손이 많이 가지 않아?
양파랑 파만 잘 썰면 금방이더라.
양념은 어떻게 해?
집에 있는 걸로 대충 섞어도 맛이 나더라.
그럼 레시피 좀 공유해 줄 수 있어?
응, 사진도 같이 보낼게.
내일 시도해볼게."
"일상 대화","일요일 저녁에 공원에 사람들이 좀 많더라.
그래도 자리 하나는 있었어?
응, 창가 쪽에 운 좋게 났더라.
그럼 다음엔 우리도 공원에서 만나자.
좋아, 난 핫초코 마실래.
지난번에 케이크도 괜찮았어.
그럼 음료는 네가 고르고, 나는 디저트 골라볼게.
시간은 어느 쪽이 편해?
퇴근 후가 제일 좋아.
그럼 이번 주 수요일 저녁으로 잡자.
알겠어, 캘린더에 적어둘게."
"직장 대화","오후 회의 전까지 제안서 최종본 정리할게.
수정 포인트는 다 반영됐지?
어제 받은 코멘트까지 반영했어.
지라에 최신 버전 올려둘게.
형식은 지난주 템플릿 그대로야?
응, 제목만 바뀌었어.
시간 되면 한 번 더 훑어봐 줄래?
알겠어, 문장 흐름만 조금 다듬을게.
고마워, 회의 시작 전에 공유하자.
회의 끝나고 배포까지 맡을게."
"직장 대화","내부 QA팀랑 통화했는데 일정은 그대로 가는 걸로 정리됐어.
다행이다. 우려했던 변경은 없었어?
없었어. 대신 중간 점검 한 번 더 하자고 했어.
좋네, 위험 요소 줄일 수 있겠다.
그럼 자료는 미리 공유해둘게.
중간 점검은 금요일 오후 어때?
괜찮아. 체크리스트 만들어둘게.
고마워, 회의실 예약도 부탁해.
알겠어. 캘린더 초대 보낼게.
그래, 오늘은 이 정도로 하자."
"직장 대화","어제 보낸 디자인 시안 피드백 받았어.
어떤 내용이었어?
전체 흐름은 괜찮은데 사례가 조금 부족하대.
그럼 전에 진행한 파일에서 인용할까?
좋아, 맥락만 맞추면 될 것 같아.
수치가 필요한 부분은 따로 표 만들자.
표는 내가 정리해볼게.
그럼 나는 서론이랑 결론을 다듬을게.
내일 오전까지 초안 맞추자.
알겠어, 오후에 합쳐보자."
"일상 대화","아침에 서점에 사람들이 좀 많더라.
그래도 자리 하나는 있었어?
응, 창가 쪽에 운 좋게 났더라.
그럼 다음엔 우리도 서점에서 만나자.
좋아, 난 라떼 마실래.
지난번에 케이크도 괜찮았어.
그럼 음료는 네가 고르고, 나는 디저트 골라볼게.
시간은 어느 쪽이 편해?
퇴근 후가 제일 좋아.
그럼 이번 주 수요일 저녁으로 잡자.
알겠어, 캘린더에 적어둘게."
"직장 대화","A사랑 통화했는데 일정은 그대로 가는 걸로 정리됐어.
다행이다. 우려했던 변경은 없었어?
없었어. 대신 중간 점검 한 번 더 하자고 했어.
좋네, 위험 요소 줄일 수 있겠다.
그럼 자료는 미리 공유해둘게.
중간 점검은 금요일 오후 어때?
괜찮아. 체크리스트 만들어둘게.
고마워, 회의실 예약도 부탁해.
알겠어. 캘린더 초대 보낼게.
그럼 이따 다시 이야기하자."
"일상 대화","점심에 동네 카페에 사람들이 좀 많더라.
그래도 자리 하나는 있었어?
응, 창가 쪽에 운 좋게 났더라.
그럼 다음엔 우리도 동네 카페에서 만나자.
좋아, 난 차 마실래.
지난번에 케이크도 괜찮았어.
그럼 음료는 네가 고르고, 나는 디저트 골라볼게.
시간은 어느 쪽이 편해?
퇴근 후가 제일 좋아.
그럼 이번 주 수요일 저녁으로 잡자.
알겠어, 캘린더에 적어둘게."
"직장 대화","오후 회의 전까지 테스트 결과 최종본 정리할게.
수정 포인트는 다 반영됐지?
어제 받은 코멘트까지 반영했어.
컨플루언스에 최신 버전 올려둘게.
형식은 지난주 템플릿 그대로야?
응, 제목만 바뀌었어.
시간 되면 한 번 더 훑어봐 줄래?
알겠어, 문장 흐름만 조금 다듬을게.
고마워, 회의 시작 전에 공유하자.
회의 끝나고 배포까지 맡을게."
"직장 대화","어제 보낸 제안서 피드백 받았어.
어떤 내용이었어?
전체 흐름은 괜찮은데 사례가 조금 부족하대.
그럼 전에 진행한 파일에서 인용할까?
좋아, 맥락만 맞추면 될 것 같아.
수치가 필요한 부분은 따로 표 만들자.
표는 내가 정리해볼게.
그럼 나는 서론이랑 결론을 다듬을게.
내일 오전까지 초안 맞추자.
알겠어, 오후에 합쳐보자."
"일상 대화","아침에 동네 카페에 사람들이 좀 많더라.
그래도 자리 하나는 있었어?
응, 창가 쪽에 운 좋게 났더라.
그럼 다음엔 우리도 동네 카페에서 만나자.
좋아, 난 핫초코 마실래.
지난번에 케이크도 괜찮았어.
그럼 음료는 네가 고르고, 나는 디저트 골라볼게.
시간은 어느 쪽이 편해?
퇴근 후가 제일 좋아.
그럼 이번 주 수요일 저녁으로 잡자.
알겠어, 캘린더에 적어둘게."
"직장 대화","A사랑 통화했는데 일정은 그대로 가는 걸로 정리됐어.
다행이다. 우려했던 변경은 없었어?
없었어. 대신 중간 점검 한 번 더 하자고 했어.
좋네, 위험 요소 줄일 수 있겠다.
그럼 자료는 미리 공유해둘게.
중간 점검은 금요일 오후 어때?
괜찮아. 체크리스트 만들어둘게.
고마워, 회의실 예약도 부탁해.
알겠어. 캘린더 초대 보낼게.
그래, 오늘은 이 정도로 하자."
"일상 대화","일요일 저녁에 지하철역 앞에 사람들이 좀 많더라.
그래도 자리 하나는 있었어?
응, 창가 쪽에 운 좋게 났더라.
그럼 다음엔 우리도 지하철역 앞에서 만나자.
좋아, 난 차 마실래.
지난번에 케이크도 괜찮았어.
그럼 음료는 네가 고르고, 나는 디저트 골라볼게.
시간은 어느 쪽이 편해?
퇴근 후가 제일 좋아.
그럼 이번 주 수요일 저녁으로 잡자.
알겠어, 캘린더에 적어둘게."
"감정 대화","오늘 좀 허전해.
무슨 일 있었어?
크게는 아닌데 계속 신경이 쓰이는 게 있어.
그럴 때 있지. 잠깐 멈추는 것도 방법이야.
그래서 뜨거운 샤워로 좀 가라앉혀보려고.
좋다. 몸이 편해지면 마음도 같이 풀리더라.
맞아, 괜히 스스로 몰아붙였던 것 같아.
그럴수록 더 천천히 가는 게 낫지.
오늘은 일찍 쉬는 게 어떨까?
그래볼게. 고마워."
"직장 대화","오후 회의 전까지 제안서 최종본 정리할게.
수정 포인트는 다 반영됐지?
어제 받은 코멘트까지 반영했어.
피그마에 최신 버전 올려둘게.
형식은 지난주 템플릿 그대로야?
응, 제목만 바뀌었어.
시간 되면 한 번 더 훑어봐 줄래?
알겠어, 문장 흐름만 조금 다듬을게.
고마워, 회의 시작 전에 공유하자.
회의 끝나고 배포까지 맡을게."
"직장 대화","오후 회의 전까지 요구사항 정리 최종본 정리할게.
수정 포인트는 다 반영됐지?
어제 받은 코멘트까지 반영했어.
슬랙에 최신 버전 올려둘게.
형식은 지난주 템플릿 그대로야?
응, 제목만 바뀌었어.
시간 되면 한 번 더 훑어봐 줄래?
알겠어, 문장 흐름만 조금 다듬을게.
고마워, 회의 시작 전에 공유하자.
회의 끝나고 배포까지 맡을게."
"일상 대화","토요일 오전에 영화관에 사람들이 좀 많더라.
그래도 자리 하나는 있었어?
응, 창가 쪽에 운 좋게 났더라.
그럼 다음엔 우리도 영화관에서 만나자.
좋아, 난 차 마실래.
지난번에 케이크도 괜찮았어.
그럼 음료는 네가 고르고, 나는 디저트 골라볼게.
시간은 어느 쪽이 편해?
퇴근 후가 제일 좋아.
그럼 이번 주 수요일 저녁으로 잡자.
알겠어, 캘린더에 적어둘게."
"감정 대화","오늘 좀 긴장돼.
무슨 일 있었어?
크게는 아닌데 계속 신경이 쓰이는 게 있어.
그럴 때 있지. 잠깐 멈추는 것도 방법이야.
그래서 따뜻한 차로 좀 가라앉혀보려고.
좋다. 몸이 편해지면 마음도 같이 풀리더라.
맞아, 괜히 스스로 몰아붙였던 것 같아.
그럴수록 더 천천히 가는 게 낫지.
오늘은 일찍 쉬는 게 어떨까?
그래볼게. 고마워."
"감정 대화","오늘 좀 기운이 없어.
무슨 일 있었어?
크게는 아닌데 계속 신경이 쓰이는 게 있어.
그럴 때 있지. 잠깐 멈추는 것도 방법이야.
그래서 조용한 음악로 좀 가라앉혀보려고.
좋다. 몸이 편해지면 마음도 같이 풀리더라.
맞아, 괜히 스스로 몰아붙였던 것 같아.
그럴수록 더 천천히 가는 게 낫지.
오늘은 일찍 쉬는 게 어떨까?
그래볼게. 고마워."
"감정 대화","오늘 좀 허전해.
무슨 일 있었어?
크게는 아닌데 계속 신경이 쓰이는 게 있어.
그럴 때 있지. 잠깐 멈추는 것도 방법이야.
그래서 따뜻한 차로 좀 가라앉혀보려고.
좋다. 몸이 편해지면 마음도 같이 풀리더라.
맞아, 괜히 스스로 몰아붙였던 것 같아.
그럴수록 더 천천히 가는 게 낫지.
오늘은 일찍 쉬는 게 어떨까?
그래볼게. 고마워."
"일상 대화","아침에 강풍 때문에 길이 많이 막혔더라.
그래서 평소보다 얼마나 늦었어?
대략 20분쯤. 여유 두고 나가길 잘했어.
요즘은 변수 생각하면 진짜 일찍 나가야 하더라.
맞아, 버스보다 지하철이 안정적이긴 해.
환승이 많은 게 조금 번거롭지.
대신 책 한두 장 읽고 오면 기분이 낫더라.
나는 팟캐스트 듣는 편이야.
그것도 괜찮다. 추천해줄 거 있어?
있지, 집에 가면 링크 보내줄게."
"일상 대화","점심에 집 앞 편의점에 사람들이 좀 많더라.
그래도 자리 하나는 있었어?
응, 창가 쪽에 운 좋게 났더라.
그럼 다음엔 우리도 집 앞 편의점에서 만나자.
좋아, 난 차 마실래.
지난번에 케이크도 괜찮았어.
그럼 음료는 네가 고르고, 나는 디저트 골라볼게.
시간은 어느 쪽이 편해?
퇴근 후가 제일 좋아.
그럼 이번 주 수요일 저녁으로 잡자.
알겠어, 캘린더에 적어둘게."
"직장 대화","오후 회의 전까지 테스트 결과 최종본 정리할게.
수정 포인트는 다 반영됐지?
어제 받은 코멘트까지 반영했어.
지라에 최신 버전 올려둘게.
형식은 지난주 템플릿 그대로야?
응, 제목만 바뀌었어.
시간 되면 한 번 더 훑어봐 줄래?
알겠어, 문장 흐름만 조금 다듬을게.
고마워, 회의 시작 전에 공유하자.
회의 끝나고 배포까지 맡을게."
"일상 대화","점심에 동네 카페에 사람들이 좀 많더라.
그래도 자리 하나는 있었어?
응, 창가 쪽에 운 좋게 났더라.
그럼 다음엔 우리도 동네 카페에서 만나자.
좋아, 난 아메리카노 마실래.
지난번에 케이크도 괜찮았어.
그럼 음료는 네가 고르고, 나는 디저트 골라볼게.
시간은 어느 쪽이 편해?
퇴근 후가 제일 좋아.
그럼 이번 주 수요일 저녁으로 잡자.
알겠어, 캘린더에 적어둘게."
"일상 대화","아침에 마트에 사람들이 좀 많더라.
그래도 자리 하나는 있었어?
응, 창가 쪽에 운 좋게 났더라.
그럼 다음엔 우리도 마트에서 만나자.
좋아, 난 아메리카노 마실래.
지난번에 케이크도 괜찮았어.
그럼 음료는 네가 고르고, 나는 디저트 골라볼게.
시간은 어느 쪽이 편해?
퇴근 후가 제일 좋아.
그럼 이번 주 수요일 저녁으로 잡자.
알겠어, 캘린더에 적어둘게."
"감정 대화","오늘 좀 기운이 없어.
무슨 일 있었어?
크게는 아닌데 계속 신경이 쓰이는 게 있어.
그럴 때 있지. 잠깐 멈추는 것도 방법이야.
그래서 뜨거운 샤워로 좀 가라앉혀보려고.
좋다. 몸이 편해지면 마음도 같이 풀리더라.
맞아, 괜히 스스로 몰아붙였던 것 같아.
그럴수록 더 천천히 가는 게 낫지.
오늘은 일찍 쉬는 게 어떨까?
그래볼게. 고마워."
"직장 대화","오후 회의 전까지 보고서 최종본 정리할게.
수정 포인트는 다 반영됐지?
어제 받은 코멘트까지 반영했어.
노션에 최신 버전 올려둘게.
형식은 지난주 템플릿 그대로야?
응, 제목만 바뀌었어.
시간 되면 한 번 더 훑어봐 줄래?
알겠어, 문장 흐름만 조금 다듬을게.
고마워, 회의 시작 전에 공유하자.
회의 끝나고 배포까지 맡을게."
"일상 대화","점심에 공원에 사람들이 좀 많더라.
그래도 자리 하나는 있었어?
응, 창가 쪽에 운 좋게 났더라.
그럼 다음엔 우리도 공원에서 만나자.
좋아, 난 핫초코 마실래.
지난번에 케이크도 괜찮았어.
그럼 음료는 네가 고르고, 나는 디저트 골라볼게.
시간은 어느 쪽이 편해?
퇴근 후가 제일 좋아.
그럼 이번 주 수요일 저녁으로 잡자.
알겠어, 캘린더에 적어둘게."
"일상 대화","일요일 저녁에 서점에 사람들이 좀 많더라.
그래도 자리 하나는 있었어?
응, 창가 쪽에 운 좋게 났더라.
그럼 다음엔 우리도 서점에서 만나자.
좋아, 난 차 마실래.
지난번에 케이크도 괜찮았어.
그럼 음료는 네가 고르고, 나는 디저트 골라볼게.
시간은 어느 쪽이 편해?
퇴근 후가 제일 좋아.
그럼 이번 주 수요일 저녁으로 잡자.
알겠어, 캘린더에 적어둘게."
"일상 대화","저녁에 마트에 사람들이 좀 많더라.
그래도 자리 하나는 있었어?
응, 창가 쪽에 운 좋게 났더라.
그럼 다음엔 우리도 마트에서 만나자.
좋아, 난 차 마실래.
지난번에 케이크도 괜찮았어.
그럼 음료는 네가 고르고, 나는 디저트 골라볼게.
시간은 어느 쪽이 편해?
퇴근 후가 제일 좋아.
그럼 이번 주 수요일 저녁으로 잡자.
알겠어, 캘린더에 적어둘게."
"직장 대화","어제 보낸 테스트 결과 피드백 받았어.
어떤 내용이었어?
전체 흐름은 괜찮은데 사례가 조금 부족하대.
그럼 전에 진행한 파일에서 인용할까?
좋아, 맥락만 맞추면 될 것 같아.
수치가 필요한 부분은 따로 표 만들자.
표는 내가 정리해볼게.
그럼 나는 서론이랑 결론을 다듬을게.
내일 오전까지 초안 맞추자.
알겠어, 오후에 합쳐보자."
